image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C1_711OLCV1_100H0006,6.5325321541021e-11,6.5325321541021e-11,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000005,6.61331892026773e-11,6.61331892026773e-11,0.0,,,
PolypGen__C4_35_endocv2021_negative_1058,6.654687911833435e-11,6.654687911833435e-11,0.0,,,
PolypGen__C2_EndoCV2021_001150,6.692096876648179e-11,6.692096876648179e-11,0.0,,,
PolypGen__C4_21_endocv2021_positive_1129,6.711409206161534e-11,6.711409206161534e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_38,6.716367739745266e-11,6.716367739745266e-11,0.0,,,
PolypGen__C4_21_endocv2021_positive_812,6.724497347843084e-11,6.724497347843084e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_148,6.727211843138292e-11,6.727211843138292e-11,0.0,,,
PolypGen__C4_17_endocv2021_positive_1456,6.727211843138292e-11,6.727211843138292e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_192,6.751738751420433e-11,6.751738751420433e-11,0.0,,,
PolypGen__C4_18_endocv2021_positive_334,6.896076071294388e-11,6.896076071294388e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_421,6.970098109793099e-11,6.970098109793099e-11,0.0,,,
PolypGen__C4_26_endocv2021_positive_588,6.975933025676895e-11,6.975933025676895e-11,0.0,,,
PolypGen__C4_30_endocv2021_positive_614,7.053678474644443e-11,7.053678474644443e-11,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000266,7.111364275225185e-11,7.111364275225185e-11,0.0,,,
PolypGen__C4_16_endocv2021_positive_269,7.125552231590504e-11,7.125552231590504e-11,0.0,,,
PolypGen__C4_15_endocv2021_positive_1283,7.15358744463046e-11,7.15358744463046e-11,0.0,,,
PolypGen__C4_17_endocv2021_positive_457,7.162810622407534e-11,7.162810622407534e-11,0.0,,,
PolypGen__C4_23_endocv2021_positive_768,7.183908329322364e-11,7.183908329322364e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_289,7.270083840493768e-11,7.270083840493768e-11,0.0,,,
PolypGen__C4_5_endocv2021_positive_1114,7.28916094150378e-11,7.28916094150378e-11,0.0,,,
PolypGen__C4_25_endocv2021_positive_29,7.295010429064774e-11,7.295010429064774e-11,0.0,,,
PolypGen__C4_20_endocv2021_positive_434,7.311010130628404e-11,7.311010130628404e-11,0.0,,,
PolypGen__C2_EndoCV2021_001108,7.357268960728192e-11,7.357268960728192e-11,0.0,,,
PolypGen__C2_EndoCV2021_001252,7.372456811705064e-11,7.372456811705064e-11,0.0,,,
PolypGen__C4_20_endocv2021_positive_270,7.550588626559218e-11,7.550588626559218e-11,0.0,,,
PolypGen__C4_11_endocv2021_positive_61,7.626019954409813e-11,7.626019954409813e-11,0.0,,,
PolypGen__C4_30_endocv2021_positive_447,7.661073858633571e-11,7.661073858633571e-11,0.0,,,
PolypGen__C4_31_endocv2021_positive_329 2,7.72678102056723e-11,7.72678102056723e-11,0.0,,,
PolypGen__C4_11_endocv2021_positive_146,7.750135949669001e-11,7.750135949669001e-11,0.0,,,
PolypGen__C1_883OLCV1_100H0014,7.865964130049363e-11,7.865964130049363e-11,0.0,,,
PolypGen__C4_22_endocv2021_positive_225,8.001920653866179e-11,8.001920653866179e-11,0.0,,,
PolypGen__C3_C3_EndoCV2021_008,8.03600103127522e-11,8.03600103127522e-11,0.0,,,
PolypGen__C2_EndoCV2021_001256,8.126777722994305e-11,8.126777722994305e-11,0.0,,,
PolypGen__C2_EndoCV2021_001365,8.506294973953388e-11,8.506294973953388e-11,0.0,,,
PolypGen__C2_EndoCV2021_001253,8.517161975696297e-11,8.517161975696297e-11,0.0,,,
PolypGen__C1_100S0001,8.566044401581152e-11,8.566044401581152e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_782,8.761938397050528e-11,8.761938397050528e-11,0.0,,,
PolypGen__C4_5_endocv2021_positive_1122,8.87311474295771e-11,8.87311474295771e-11,0.0,,,
PolypGen__C4_31_endocv2021_positive_38,8.958165459427292e-11,8.958165459427292e-11,0.0,,,
PolypGen__C2_EndoCV2021_001431,8.96137677952602e-11,8.96137677952602e-11,0.0,,,
PolypGen__C4_30_endocv2021_positive_480,9.184423360730776e-11,9.184423360730776e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_25,9.372071174684748e-11,9.372071174684748e-11,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100005,9.553835500497598e-11,9.553835500497598e-11,0.0,,,
