image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C1_711OLCV1_100H0006,6.53338563805228e-11,6.53338563805228e-11,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000005,6.608948804887049e-11,6.608948804887049e-11,0.0,,,
PolypGen__C4_35_endocv2021_negative_1058,6.644518268927868e-11,6.644518268927868e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_148,6.66755539668884e-11,6.66755539668884e-11,0.0,,,
PolypGen__C2_EndoCV2021_001150,6.672449398559266e-11,6.672449398559266e-11,0.0,,,
PolypGen__C4_21_endocv2021_positive_1129,6.681812048103808e-11,6.681812048103808e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_192,6.688515713504373e-11,6.688515713504373e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_421,6.700167504147814e-11,6.700167504147814e-11,0.0,,,
PolypGen__C4_21_endocv2021_positive_812,6.708707894764743e-11,6.708707894764743e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_38,6.710058203518443e-11,6.710058203518443e-11,0.0,,,
PolypGen__C4_17_endocv2021_positive_1456,6.711859540375897e-11,6.711859540375897e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_289,6.734460211710314e-11,6.734460211710314e-11,0.0,,,
PolypGen__C4_26_endocv2021_positive_588,6.763154619671141e-11,6.763154619671141e-11,0.0,,,
PolypGen__C4_18_endocv2021_positive_334,6.788865997142679e-11,6.788865997142679e-11,0.0,,,
PolypGen__C1_100S0001,6.793016843475996e-11,6.793016843475996e-11,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000266,6.803183710824001e-11,6.803183710824001e-11,0.0,,,
PolypGen__C4_15_endocv2021_positive_1283,6.930967605400795e-11,6.930967605400795e-11,0.0,,,
PolypGen__C4_17_endocv2021_positive_457,7.005254015757245e-11,7.005254015757245e-11,0.0,,,
PolypGen__C4_30_endocv2021_positive_614,7.01852881368481e-11,7.01852881368481e-11,0.0,,,
PolypGen__C4_16_endocv2021_positive_269,7.076138980322e-11,7.076138980322e-11,0.0,,,
PolypGen__C2_EndoCV2021_001108,7.081150249499402e-11,7.081150249499402e-11,0.0,,,
PolypGen__C4_25_endocv2021_positive_29,7.092198356373203e-11,7.092198356373203e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_782,7.104795918255746e-11,7.104795918255746e-11,0.0,,,
PolypGen__C4_30_endocv2021_positive_447,7.109847433017791e-11,7.109847433017791e-11,0.0,,,
PolypGen__C4_20_endocv2021_positive_434,7.149496272784717e-11,7.149496272784717e-11,0.0,,,
PolypGen__C4_23_endocv2021_positive_768,7.155123021851395e-11,7.155123021851395e-11,0.0,,,
PolypGen__C4_20_endocv2021_positive_270,7.17411546835578e-11,7.17411546835578e-11,0.0,,,
PolypGen__C4_5_endocv2021_positive_1114,7.201497731479378e-11,7.201497731479378e-11,0.0,,,
PolypGen__C2_EndoCV2021_001256,7.257947715055835e-11,7.257947715055835e-11,0.0,,,
PolypGen__C4_31_endocv2021_positive_329 2,7.293946002739915e-11,7.293946002739915e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_1069,7.313148697729588e-11,7.313148697729588e-11,0.0,,,
PolypGen__C2_EndoCV2021_001252,7.329228890462502e-11,7.329228890462502e-11,0.0,,,
PolypGen__C4_30_endocv2021_positive_480,7.353481712435439e-11,7.353481712435439e-11,0.0,,,
PolypGen__C4_22_endocv2021_positive_225,7.407956192917453e-11,7.407956192917453e-11,0.0,,,
PolypGen__C4_23_endocv2021_positive_98,7.437709476088017e-11,7.437709476088017e-11,0.0,,,
PolypGen__C4_11_endocv2021_positive_146,7.503564436461829e-11,7.503564436461829e-11,0.0,,,
PolypGen__C4_11_endocv2021_positive_61,7.51766635054274e-11,7.51766635054274e-11,0.0,,,
PolypGen__C2_EndoCV2021_001253,7.58380094834088e-11,7.58380094834088e-11,0.0,,,
PolypGen__C4_31_endocv2021_positive_38,7.599361417920392e-11,7.599361417920392e-11,0.0,,,
PolypGen__C1_883OLCV1_100H0014,7.725586836926368e-11,7.725586836926368e-11,0.0,,,
PolypGen__C4_14_endocv2021_positive_302,7.856076900125686e-11,7.856693767793743e-11,6.168676680573526e-15,,,
PolypGen__C4_5_endocv2021_positive_1122,7.927699469112426e-11,7.927699469112426e-11,0.0,,,
PolypGen__C4_19_endocv2021_positive_711,8.197393458475588e-11,8.197393458475588e-11,0.0,,,
PolypGen__C2_EndoCV2021_001365,8.207485385769431e-11,8.207485385769431e-11,0.0,,,
PolypGen__C2_EndoCV2021_001431,8.22909795861193e-11,8.22909795861193e-11,0.0,,,
PolypGen__C4_12_endocv2021_positive_25,8.25559343109461e-11,8.25559343109461e-11,0.0,,,
PolypGen__C2_EndoCV2021_001241,8.304958110105787e-11,8.304958110105787e-11,0.0,,,
PolypGen__C4_20_endocv2021_positive_417,8.950147567521327e-11,8.950147567521327e-11,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100005,9.216589991201118e-11,9.216589991201118e-11,0.0,,,
PolypGen__C4_16_endocv2021_positive_328,9.254974564498752e-11,9.254974564498752e-11,0.0,,,
