image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C1_711OLCV1_100H0006,6.538939528732968e-11,6.257822038335803e-10,5.603928085462506e-10,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__kvasir_cju33w4sdcivk0855x879zht7_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C5_EndoCV2021_C5_50000005,6.615944597720969e-11,7.257947715055835e-11,6.4200311733486615e-12,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__cvc_444_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C4_35_endocv2021_negative_1058,6.651146994274271e-11,2.836879342549281e-10,2.171764643121854e-10,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__cvc_444_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C2_EndoCV2021_001150,6.677350339323596e-11,9.070294515467481e-11,2.3929441761438852e-11,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__kvasir_cju33w4sdcivk0855x879zht7_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C4_12_endocv2021_positive_148,6.681365877225787e-11,1.0795638688554376e-10,4.11427281132859e-11,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__kvasir_cju33w4sdcivk0855x879zht7_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C4_21_endocv2021_positive_1129,6.694785004146553e-11,2.5773194689548973e-10,1.907840968540242e-10,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__cvc_444_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C4_14_endocv2021_positive_192,6.706907945686069e-11,8.887308944327543e-11,2.180400998641474e-11,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__kvasir_cju33w4sdcivk0855x879zht7_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C4_17_endocv2021_positive_1456,6.720881490229758e-11,6.798558938037047e-11,7.767744780728947e-13,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__cvc_54_positive,KvasirCVC__cvc_210_negative,KvasirCVC__kvasir_cju43kj2pm34f0850l28ahpni_boundary
PolypGen__C4_14_endocv2021_positive_421,6.730380835984207e-11,9.927528937803132e-11,3.197148101818925e-11,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__kvasir_cju33w4sdcivk0855x879zht7_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
PolypGen__C4_21_endocv2021_positive_812,6.731287055528057e-11,5.941770409023661e-10,5.268641703470855e-10,KvasirCVC__kvasir_cju3u39fog1bo0871lxjrabks_positive;KvasirCVC__cvc_444_positive,KvasirCVC__kvasir_cju87vqa0ndwg0850onjdz7ol_negative,KvasirCVC__kvasir_cju2zp89k9q1g0855k1x0f1xa_boundary
